Avg Pump Difference,Lateral Length,TVD,DELAYED,BOUND_CODE,PARENT_CODEV_1050_WELL_COUNT,PARENT_IN_ZONE_MIN_HYPOT,PARENT_OUT_ZONE_MIN_HYPOT,PARENT_IN_ZONE_MIN_MAP_DIST,PARENT_OUT_ZONE_MIN_MAP_DIST,PARENT_1050_AVG_WELL_AGE,PARENT_1050_MEDIAN_WELL_AGE,PARENT_1050_WELL_COUNT,PARENT_3000_AVG_HYPOT_DIST,PARENT_3000_AVG_MAP_DIST,PARENT_3000_AVG_TVD_DIST,PARENT_3000_AVG_WELL_AGE,PARENT_3000_MEDIAN_WELL_AGE,PARENT_3000_WELL_COUNT,CODEV_IN_ZONE_MIN_HYPOT,CODEV_OUT_ZONE_MIN_HYPOT,CODEV_IN_ZONE_MIN_MAP_DIST,CODEV_1050_WELL_COUNT,CODEV_3000_AVG_HYPOT_DIST,CODEV_3000_AVG_MAP_DIST,CODEV_3000_AVG_TVD_DIST,CODEV_3000_AVG_WELL_AGE,CODEV_3000_MEDIAN_WELL_AGE,CODEV_3000_WELL_COUNT,Pressure Gradient (psi/ft) new,Soak Time,Avg Open Pressure,SD Open Pressure,Avg Close Pressure,SD Close Pressure,Imputed
-0.93,10300,10415.0,1,11100000,2,892.0,980.0,888.0,50.0,1764.0,1764.0,2,2071.0,1242.0,1483.0,1840.0,1764.0,12,1455.0,340.0,1455.0,0,1490,1490,4,0.0,0.0,1,0.593758088,34,3304.124833,261.7,2719.898438,472.4,1.0
-8.45,10300,10415.0,1,11100000,2,892.0,980.0,888.0,50.0,1764.0,1764.0,2,2071.0,1242.0,1483.0,1840.0,1764.0,12,1455.0,340.0,1455.0,0,1490,1490,4,0.0,0.0,1,0.597058903,67,3301.199254,255.9,2934.885325,747.4,1.0
8.7,11000,8470.0,0,101111,6,2717.5,1865.0,2716.5,1838.0,2480.0,2480.0,0,2492.0,2394.0,660.0,2397.0,2397.5,6,1783.0,265.0,1783.0,6,1165,812,682,4.5,0.0,11,0.516873265,34,2774.40708,184.8,1589.948673,596.9,1.0
42.959999999999994,11000,10555.0,1,11110000,1,650.5,1208.0,537.0,100.0,4296.0,4296.0,0,2378.0,1649.0,1571.0,2416.0,2821.0,20,1000.0,1942.0,1000.0,1,1000,1000,4,0.0,0.0,1,0.501287232,30,2653.539415,206.7,1304.162878,551.5,1.0
19.93,2300,9295.0,1,10001101,4,1832.0,540.0,1823.0,356.0,4726.0,4725.5,2,1829.0,1786.0,221.0,4076.0,3999.0,9,542.0,627.0,541.0,2,586,437,277,1.0,1.0,2,0.503327426,336,3093.8312619999997,226.0,2470.0215855,376.35,1.0
-4.34,12300,10355.0,1,11110000,0,2763.0,1232.0,2763.0,1.0,5111.0,5111.0,0,2464.0,1850.0,1426.0,3454.0,4066.0,13,1760.0,1880.0,1760.0,0,2077,1112,1410,21.5,28.5,4,0.565199923,21,2963.567911,232.0,2063.408619,517.8,1.0
0.54,12600,8120.0,1,10101111,4,1286.0,632.0,1276.0,4.0,3408.0,3407.5,2,1570.0,1273.0,792.0,3561.0,3715.0,12,600.0,263.0,600.0,2,694,600,177,-0.7,-1.0,3,0.561294383,34,2814.617107,296.9,2330.939138,471.2,1.0
66.52,11000,10560.0,1,11111000,2,1016.0,1075.0,792.0,149.0,3656.0,3656.0,1,2124.0,1499.0,1285.0,2557.0,3415.0,32,859.0,1551.5,858.0,1,1359,1359,29,-0.5,-0.5,2,0.493533848,135,2697.57656,222.9,1975.744979,707.7,1.0
3.39,12900,10345.0,1,11111000,1,1010.0,1241.0,1010.0,20.0,294.0,294.0,1,2341.0,1700.0,1362.0,2900.0,3716.0,17,1584.0,2528.0,1584.0,0,1606,1606,36,0.0,0.0,1,0.56011052,227,2892.427934,248.5,2235.44895,698.1,1.0
13.78,10000,8335.0,0,10001001,2,2746.0,2418.0,2746.0,2412.0,1025.0,1025.0,0,2678.0,2607.0,432.0,732.0,700.5,4,562.0,1384.0,562.0,2,1556,1556,21,7.1,16.0,7,0.540762005,21,2763.612613,159.2,1671.514259,287.2,1.0
56.25,10000,8335.0,0,10001001,2,2746.0,2418.0,2746.0,2412.0,1025.0,1025.0,0,2678.0,2607.0,432.0,732.0,700.5,4,562.0,1384.0,562.0,2,1556,1556,21,7.1,16.0,7,0.523597524,26,2525.493936,165.6,1097.263009,323.3,1.0
65.88,10000,8335.0,0,10001001,2,2746.0,2418.0,2746.0,2412.0,1025.0,1025.0,0,2678.0,2607.0,432.0,732.0,700.5,4,562.0,1384.0,562.0,2,1556,1556,21,7.1,16.0,7,0.519705507,106,2434.963424,319.7,1341.334898,392.3,1.0
75.57,10100,9090.0,0,11110101,5,2727.0,2314.0,2727.0,2305.0,171.0,171.0,0,2542.0,2489.0,399.0,387.0,386.5,4,914.0,447.0,914.0,5,1062,781,575,-2.1,-0.5,10,0.519913983,47,2446.081885,117.9,2222.396037,650.1,1.0
43.66,10100,9090.0,0,11110101,5,2727.0,2314.0,2727.0,2305.0,171.0,171.0,0,2542.0,2489.0,399.0,387.0,386.5,4,914.0,447.0,914.0,5,1062,781,575,-2.1,-0.5,10,0.532913717,120,2701.389381,267.6,1665.823009,561.6,1.0
66.63,10100,9090.0,0,11110101,5,2727.0,2314.0,2727.0,2305.0,171.0,171.0,0,2542.0,2489.0,399.0,387.0,386.5,4,914.0,447.0,914.0,5,1062,781,575,-2.1,-0.5,10,0.523556027,92,2520.10571,145.4,2054.614706,700.4,1.0
80.58,10100,8335.0,0,10001001,2,2746.0,2418.0,2746.0,2412.0,1025.0,1025.0,0,2678.0,2607.0,432.0,732.0,700.5,4,562.0,1384.0,562.0,2,1556,1556,21,7.1,16.0,7,0.477080938,30,2150.105179,218.2,995.6670335,566.6,1.0
92.39,10100,8335.0,0,10001001,2,2746.0,2418.0,2746.0,2412.0,1025.0,1025.0,0,2678.0,2607.0,432.0,732.0,700.5,4,562.0,1384.0,562.0,2,1556,1556,21,7.1,16.0,7,0.472648666,25,2046.380523,232.0,1160.647734,715.4,1.0
42.91,10100,8335.0,0,10001001,2,2746.0,2418.0,2746.0,2412.0,1025.0,1025.0,0,2678.0,2607.0,432.0,732.0,700.5,4,562.0,1384.0,562.0,2,1556,1556,21,7.1,16.0,7,0.526571643,34,2405.210273,946.2,890.668334,311.3,1.0
5.23,9400,8335.0,0,10001001,2,2746.0,2418.0,2746.0,2412.0,1025.0,1025.0,0,2678.0,2607.0,432.0,732.0,700.5,4,562.0,1384.0,562.0,2,1556,1556,21,7.1,16.0,7,0.54173063,35,2565.229027,242.7,1148.561993,253.0,1.0
39.6,10100,8335.0,0,10001001,2,2746.0,2418.0,2746.0,2412.0,1025.0,1025.0,0,2678.0,2607.0,432.0,732.0,700.5,4,562.0,1384.0,562.0,2,1556,1556,21,7.1,16.0,7,0.527903284,97,2318.39506,166.0,1121.475183,369.5,1.0
-1.48,12700,8005.0,1,11011000,4,899.0,413.0,894.0,130.0,4083.0,3106.0,3,1482.0,1422.0,208.0,4782.0,5935.0,7,797.0,1350.0,797.0,1,1734,1715,180,30.8,50.0,5,0.548908027,27,2634.323963,161.4,1919.710804,225.3,0.0
1.96,12800,10557.5,1,11111000,1,1268.0,1405.0,1268.0,25.0,1377.0,1377.0,0,2586.0,1504.0,1889.0,3300.0,3835.5,16,910.0,2528.0,910.0,1,914,914,12,0.0,0.0,1,0.548135939,24,2646.22424,144.6,2127.969411,226.2,1.0
24.21,12800,8035.0,1,10011000,4,712.0,420.0,710.0,109.0,4107.0,3105.0,3,1553.0,1499.0,246.0,4962.0,5707.0,9,704.0,2882.0,704.0,1,1719,1708,156,16.3,0.0,3,0.538487713,97,2843.6834975,298.4,2075.985764,185.1,1.0
-0.16,10300,10250.0,1,111000,0,2780.0,1375.0,2779.0,160.0,2480.0,2480.0,0,2382.0,1467.0,1737.0,5907.0,6499.0,10,1440.0,411.0,1440.0,0,1440,1440,3,0.0,0.0,1,0.559608477,151,2889.833674,265.1,1210.401539,887.1,1.0
6.03,12800,9295.0,1,10001101,4,1832.0,540.0,1823.0,356.0,4726.0,4725.5,2,1829.0,1786.0,221.0,4076.0,3999.0,9,542.0,627.0,541.0,2,586,437,277,1.0,1.0,2,0.5486065124999999,203,3579.913367,193.1,2522.649904,523.9,1.0
-5.8,10600,10265.0,1,11100000,0,1054.0,1292.0,1051.5,139.0,1764.0,1764.0,0,1834.0,838.0,1554.0,3475.0,3475.0,8,1440.0,439.0,1440.0,0,1440,1440,6,0.0,0.0,1,0.561943033,44,3136.370858,199.4,2252.870766,799.0,1.0
6.66,10300,10250.0,1,111000,0,2780.0,1375.0,2779.0,160.0,2480.0,2480.0,0,2382.0,1467.0,1737.0,5907.0,6499.0,10,1440.0,411.0,1440.0,0,1440,1440,3,0.0,0.0,1,0.556785485,209,3087.582724,313.1,1618.171604,577.4,1.0
117.26,10900,8160.0,1,10001000,2,616.0,2458.0,610.0,2424.0,1025.0,1025.0,1,1870.0,1864.0,113.0,790.0,1025.0,7,569.0,657.0,569.0,1,1601,1601,44,5.0,5.0,4,0.453435,32,2203.2,155.9,1934.1,678.5,1.0
43.38,10500,8160.0,1,10001000,2,616.0,2458.0,610.0,2424.0,1025.0,1025.0,1,1870.0,1864.0,113.0,790.0,1025.0,7,569.0,657.0,569.0,1,1601,1601,44,5.0,5.0,4,0.480570763,115,2508.920546,155.3,2411.60484,736.0,1.0
80.32000000000001,10900,8160.0,1,10001000,2,616.0,2458.0,610.0,2424.0,1025.0,1025.0,1,1870.0,1864.0,113.0,790.0,1025.0,7,569.0,657.0,569.0,1,1601,1601,44,5.0,5.0,4,0.489194852,105,2641.403093,182.2,2330.649788,712.4,1.0
-1.7,10000,8335.0,0,10001001,2,2746.0,2418.0,2746.0,2412.0,1025.0,1025.0,0,2678.0,2607.0,432.0,732.0,700.5,4,562.0,1384.0,562.0,2,1556,1556,21,7.1,16.0,7,0.563370555,31,3194.020031,175.6,2330.800646,386.8,1.0
-2.26,9800,8335.0,0,10001001,2,2746.0,2418.0,2746.0,2412.0,1025.0,1025.0,0,2678.0,2607.0,432.0,732.0,700.5,4,562.0,1384.0,562.0,2,1556,1556,21,7.1,16.0,7,0.563603648,37,3329.887249,209.8,2980.856098,595.5,1.0
-2.68,9700,8335.0,0,10001001,2,2746.0,2418.0,2746.0,2412.0,1025.0,1025.0,0,2678.0,2607.0,432.0,732.0,700.5,4,562.0,1384.0,562.0,2,1556,1556,21,7.1,16.0,7,0.563778467,96,3327.534621,164.0,3149.661193,555.0,1.0
-1.31,9600,8160.0,1,10001000,2,616.0,2458.0,610.0,2424.0,1025.0,1025.0,1,1870.0,1864.0,113.0,790.0,1025.0,7,569.0,657.0,569.0,1,1601,1601,44,5.0,5.0,4,0.496985182,39,2829.617284,234.5,2608.790227,535.0,1.0
