PARENT_IN_ZONE_MIN_MAP_DIST,CODEV_OUT_ZONE_MIN_HYPOT,CODEV_1050_WELL_COUNT,Pressure Gradient (psi/ft) new,Avg Pump Difference
888.0,340.0,0,0.593758088,-0.93
888.0,340.0,0,0.597058903,-8.45
2716.5,265.0,6,0.516873265,8.7
537.0,1942.0,1,0.501287232,42.96
1823.0,627.0,2,0.503327426,19.93
2763.0,1880.0,0,0.565199923,-4.34
1276.0,263.0,2,0.561294383,0.54
792.0,1551.5,1,0.493533848,66.52
1010.0,2528.0,0,0.56011052,3.39
2746.0,1384.0,2,0.540762005,13.78
2746.0,1384.0,2,0.523597524,56.25
2746.0,1384.0,2,0.519705507,65.88
2727.0,447.0,5,0.519913983,75.57
2727.0,447.0,5,0.532913717,43.66
2727.0,447.0,5,0.523556027,66.63
2746.0,1384.0,2,0.477080938,80.58
2746.0,1384.0,2,0.472648666,92.39
2746.0,1384.0,2,0.526571643,42.91
2746.0,1384.0,2,0.54173063,5.23
2746.0,1384.0,2,0.527903284,39.6
894.0,1350.0,1,0.548908027,-1.48
1268.0,2528.0,1,0.548135939,1.96
710.0,2882.0,1,0.538487713,24.21
2779.0,411.0,0,0.559608477,-0.16
1823.0,627.0,2,0.5486065124999999,6.03
1051.5,439.0,0,0.561943033,-5.8
2779.0,411.0,0,0.556785485,6.66
610.0,657.0,1,0.453435,117.26
610.0,657.0,1,0.480570763,43.38
610.0,657.0,1,0.489194852,80.32000000000001
2746.0,1384.0,2,0.563370555,-1.7
2746.0,1384.0,2,0.563603648,-2.26
2746.0,1384.0,2,0.563778467,-2.68
610.0,657.0,1,0.496985182,-1.31
610.0,657.0,1,0.560853528,22.29
610.0,657.0,1,0.495762089,2.02
610.0,657.0,1,0.497091697,-1.6
610.0,657.0,1,0.55510365,35.92
2716.5,411.0,3,0.575120123,5.66
1352.0,2528.0,1,0.493067694,22.17
2716.5,411.0,3,0.577162336,1.4300000000000002
1352.0,2528.0,1,0.493275362,21.61
2000.0,2489.0,2,0.490279015,29.69
